;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone GalaxyS3
Agenda;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Alarme;0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 
Dropbox;1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 
Ebay;0; 1; 1; 1; 1; 1; 0; 0; 0; 1; 0; 0; 0; 
Facebook;1; 1; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 
Facebook messenger;1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Gestion de taches;0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Gmail;0; 0; 1; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 
Google Play Store;0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 
Instagram;0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Google;1; 1; 1; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 
LaBanquePostale;0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 
Lecteur video;0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 
LizLisa;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Mise a jour logicielle;0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Notes;1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 0; 
PagesJaunes;0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 
Tumblr;0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 
YouTube;0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 1; 1; 0; 
