;Home;Home Wifi;Network 3G;Morning;Lunch break;Evening;Smartphone Samsung
8tracks;0; 0; 0; 0; 0; 0; 1; 
AlloCine;1; 1; 0; 0; 0; 1; 1; 
Appareil photo;1; 0; 0; 0; 0; 1; 1; 
AppyGeek;0; 0; 0; 1; 0; 0; 1; 
Boost eclair;0; 0; 0; 0; 0; 0; 1; 
Google;1; 1; 0; 0; 0; 0; 1; 
Eurosport;1; 1; 0; 0; 0; 0; 1; 
Facebook;0; 0; 0; 0; 0; 1; 1; 
Flappy Bird;1; 0; 0; 0; 0; 1; 1; 
Gestion de taches;1; 0; 0; 0; 0; 0; 1; 
Gestionnaire de depenses;0; 0; 0; 0; 0; 1; 1; 
Gmail;1; 1; 0; 0; 0; 0; 1; 
HorairesMey;0; 0; 1; 0; 0; 0; 1; 
IMDb;0; 0; 0; 0; 0; 1; 1; 
Instagram;0; 0; 0; 0; 0; 0; 1; 
LCL Mobile;0; 0; 0; 0; 1; 0; 1; 
Mes fichiers;0; 0; 0; 0; 0; 0; 1; 
Notes;0; 0; 0; 0; 0; 0; 1; 
Parametres;0; 0; 0; 0; 0; 0; 1; 
Runtastic;1; 0; 1; 0; 0; 0; 1; 
SMS;0; 0; 1; 0; 0; 0; 1; 
SnapChat;1; 1; 0; 0; 0; 1; 1; 
So Foot;0; 0; 1; 0; 0; 0; 1; 
Spotify;0; 0; 0; 0; 0; 1; 1; 
Telephone;0; 0; 1; 0; 0; 1; 1; 
Twitter;1; 1; 0; 0; 0; 0; 1; 
YouTube;1; 1; 0; 0; 0; 1; 1; 
