;University;Train station;Home;Home Wifi;Network 3G;Univ Wifi;Morning;Lunch break;Afternoon;Evening;Smartphone Samsung
8tracks;0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 1; 
AlloCine;0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 1; 
Appareil photo;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 
AppyGeek;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
Boost eclair;0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 
Google;0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 1; 
Eurosport;0; 0; 1; 1; 0; 0; 1; 0; 0; 1; 1; 
Facebook;1; 0; 1; 1; 0; 1; 0; 0; 0; 1; 1; 
Flappy Bird;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 
Gestion de taches;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
Gestionnaire de depenses;0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 1; 
Gmail;0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 1; 
HorairesMey;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
IMDb;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Instagram;1; 0; 1; 1; 0; 1; 1; 0; 0; 1; 1; 
LCL Mobile;1; 0; 0; 0; 0; 1; 0; 1; 0; 1; 1; 
Mes fichiers;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Notes;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Parametres;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
Runtastic;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 
SMS;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
SnapChat;0; 0; 1; 1; 0; 0; 0; 0; 1; 1; 1; 
So Foot;0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 
Spotify;0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
Telephone;0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 
Twitter;0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 
YouTube;0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 1; 
