;University;Train station;Cinema;Restaurant;Home;Transportation;Home Wifi;Network 3G;Public Wifi;Univ Wifi;Early Morning;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung
8tracks;1; 1; 0; 0; 1; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Alarme;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
AlloCine;1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 1; 0; 0; 0; 0; 
Appareil photo;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 
AppyGeek;1; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
Boost eclair;1; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Google;1; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
Eurosport;1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 0; 0; 0; 
Facebook;1; 1; 0; 0; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 
Flappy Bird;1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 
Gestion de taches;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 0; 1; 0; 
Gestionnaire de depenses;1; 0; 0; 1; 1; 0; 1; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 
Gmail;1; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 1; 1; 0; 0; 0; 
Google Play Store;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 
HorairesMey;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
IMDb;1; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 
Instagram;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 
LCL Mobile;1; 0; 0; 0; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 
Maps;0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Mes fichiers;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Notes;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
PagesJaunes;0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Parametres;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Runtastic;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 1; 1; 
SMS;1; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
SnapChat;1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 1; 
So Foot;1; 1; 0; 0; 1; 1; 1; 0; 0; 1; 0; 1; 1; 0; 1; 0; 0; 0; 
Spotify;0; 1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Telephone;1; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Twitter;1; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 1; 1; 1; 0; 0; 
YouTube;1; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 0; 0; 1; 0; 0; 0; 1; 
